index,uf_sigla,competen,cod_regsaud,regiao_saude,qtd,tipo,codigo_sigtap,mes,parametro,procedimento,tipo_procedimento,Público,nivel_atencao,quantidade,mês_procedimento_realizado,fk_previsoes
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010110,-8,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,1948.0,2021-11-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010137,-7,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,1948.0,2021-12-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0202,-7,1.0,Coleta de exames laboratoriais do primeiro trimestre,Exames,Todas gestantes,APS,1948.0,2021-12-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0203,-7,1.0,Coleta de exame citopatológico de colo de útero no primeiro trimestre,Exames,Todas gestantes,APS,1948.0,2021-12-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010110,-7,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,1948.0,2021-12-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010137,-6,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-01-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010153,-6,1.0,Avaliação odontológica,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-01-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0205020143,-6,1.0,Ultrassonografia,Exames,Todas gestantes,Especializada,1948.0,2022-01-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010110,-6,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-01-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0101010010,-6,1.0,Ações Educacionais,Ações Educacionais,Todas gestantes,APS,1948.0,2022-01-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010137,-5,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-02-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0202,-5,1.0,Coleta de exames laboratoriais do segundo trimestre,Exames,Todas gestantes,APS,1948.0,2022-02-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010110,-5,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-02-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010137,-4,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-03-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0205020143,-4,1.0,Ultrassonografia,Exames,Todas gestantes,Especializada,1948.0,2022-03-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010110,-4,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-03-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010137,-3,1.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-04-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010153,-3,1.0,Avaliação odontológica,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-04-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0301010110,-3,1.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,1948.0,2022-04-01T00:00,49914
49914,GO,2022-07-01T00:00,52001,Central,1948.0,Valor observado - teste,0202,-2,1.0,Coleta de exames laboratoriais do terceiro trimestre,Exames,Todas gestantes,APS,1948.0,2022-05-01T00:00,49914
